Episode,Total_Reward,Success_Count,Blocking_Rate,Resource_Utilization
532,-10,0,1.00,0.98
533,-10,0,1.00,0.98
534,-10,0,1.00,0.98
535,-10,0,1.00,0.98
536,-10,0,1.00,0.98
537,-10,0,1.00,0.98
538,-10,0,1.00,0.98
539,-10,0,1.00,0.98
540,-10,0,1.00,0.98
541,-10,0,1.00,0.98
542,-10,0,1.00,0.98
543,-10,0,1.00,0.98
544,-10,0,1.00,0.98
545,-10,0,1.00,0.98
546,-10,0,1.00,0.98
547,-10,0,1.00,0.98
548,-10,0,1.00,0.98
549,-10,0,1.00,0.98
550,-10,0,1.00,0.98
551,-10,0,1.00,0.98
552,-10,0,1.00,0.98
553,-10,0,1.00,0.98
554,-10,0,1.00,0.98
555,-10,0,1.00,0.98
556,-10,0,1.00,0.98
557,-10,0,1.00,0.98
558,-10,0,1.00,0.98
559,-10,0,1.00,0.98
560,-10,0,1.00,0.98
561,-10,0,1.00,0.98
562,-10,0,1.00,0.98
563,-10,0,1.00,0.98
564,-10,0,1.00,0.98
565,-10,0,1.00,0.98
566,-10,0,1.00,0.98
567,-10,0,1.00,0.98
568,-10,0,1.00,0.98
569,-10,0,1.00,0.98
570,-10,0,1.00,0.98
571,-10,0,1.00,0.98
572,-10,0,1.00,0.98
573,-10,0,1.00,0.98
574,-10,0,1.00,0.98
575,-10,0,1.00,0.98
576,-10,0,1.00,0.98
577,-10,0,1.00,0.98
578,-10,0,1.00,0.98
579,-10,0,1.00,0.98
580,-10,0,1.00,0.98
581,-10,0,1.00,0.98
582,-10,0,1.00,0.98
583,-10,0,1.00,0.98
584,-10,0,1.00,0.98
585,-10,0,1.00,0.98
586,-10,0,1.00,0.98
587,-10,0,1.00,0.98
588,-10,0,1.00,0.98
589,-10,0,1.00,0.98
590,-10,0,1.00,0.98
591,-10,0,1.00,0.98
592,-10,0,1.00,0.98
593,-10,0,1.00,0.98
594,-10,0,1.00,0.98
595,-10,0,1.00,0.98
596,-10,0,1.00,0.98
597,-10,0,1.00,0.98
598,-10,0,1.00,0.98
599,-10,0,1.00,0.98
600,-10,0,1.00,0.98
601,-10,0,1.00,0.98
602,-10,0,1.00,0.98
603,-10,0,1.00,0.98
604,-10,0,1.00,0.98
605,-10,0,1.00,0.98
606,-10,0,1.00,0.98
607,-10,0,1.00,0.98
608,-10,0,1.00,0.98
609,-10,0,1.00,0.98
610,-10,0,1.00,0.98
611,-10,0,1.00,0.98
612,-10,0,1.00,0.98
613,-10,0,1.00,0.98
614,-10,0,1.00,0.98
615,-10,0,1.00,0.98
616,-10,0,1.00,0.98
617,-10,0,1.00,0.98
618,-10,0,1.00,0.98
619,-10,0,1.00,0.98
620,-10,0,1.00,0.98
621,-10,0,1.00,0.98
622,-10,0,1.00,0.98
623,-10,0,1.00,0.98
624,-10,0,1.00,0.98
625,-10,0,1.00,0.98
626,-10,0,1.00,0.98
627,-10,0,1.00,0.98
628,-10,0,1.00,0.98
629,-10,0,1.00,0.98
630,-10,0,1.00,0.98
631,-10,0,1.00,0.98
632,-10,0,1.00,0.98
633,-10,0,1.00,0.98
634,-10,0,1.00,0.98
635,-10,0,1.00,0.98
636,-10,0,1.00,0.98
637,-10,0,1.00,0.98
638,-10,0,1.00,0.98
639,-10,0,1.00,0.98
640,-10,0,1.00,0.98
641,-10,0,1.00,0.98
642,-10,0,1.00,0.98
643,-10,0,1.00,0.98
644,-10,0,1.00,0.98
645,-10,0,1.00,0.98
646,-10,0,1.00,0.98
647,-10,0,1.00,0.98
648,-10,0,1.00,0.98
649,-10,0,1.00,0.98
650,-10,0,1.00,0.98
651,-10,0,1.00,0.98
652,-10,0,1.00,0.98
653,-10,0,1.00,0.98
654,-10,0,1.00,0.98
655,-10,0,1.00,0.98
656,-10,0,1.00,0.98
